# key	cr	status	commit	note   (edit this file; LEDGER.md is generated)
A9P-07	CR-28	todo		
A9P-08	CR-28	todo		
A9P-09	CR-27	todo		
A9P-10	CR-28	todo		
A9P-11	CR-27	todo		
A9P-12	CR-28	todo		
A9P-13	CR-13	todo		
A9P-14	CR-22	todo		
A9P-15	CR-30	todo		
A9P-16	CR-08	todo		
A9P-D01	CR-07	todo		
A9P-D02	CR-28	todo		
A9P-D03	CR-07	dup		= A9W-D03 (cml.CAST)
A9P-D04	CR-07	todo		
A9P-D05	CR-07	todo		
A9P-D06	CR-07	todo		
A9P-D07	CR-07	todo		
A9P-D08	CR-17	todo		
A9P-D09	CR-07	todo		
A9P-D10	CR-27	todo		
A9P-D11	CR-07	todo		
A9P-Q01	CR-28	todo		
A9P-Q02	CR-28	todo		
A9P-Q03	CR-28	todo		
A9P-Q04	CR-27	todo		
A9P-Q05	CR-30	todo		
A9P-Q06	CR-17	todo		
A9P-Q07	CR-28	todo		
A9V-01	CR-15	todo		
A9V-02	CR-27	todo		
A9V-03	CR-31	todo		
A9V-04	CR-16	todo		
A9V-05	CR-17	todo		
A9V-06	CR-31	todo		
A9V-07	CR-31	todo		
A9V-08	CR-31	todo		
A9V-09	CR-31	todo		
A9V-10	CR-31	todo		
A9V-11	CR-27	todo		
A9V-12	CR-15	todo		
A9V-13	CR-08	todo		
A9V-14	CR-20	todo		
A9V-15		withdrawn		CPU is not a lever (README §3); ~2 s per run
A9V-16	CR-10	todo		
A9V-D01	CR-15	todo		
A9V-D02	CR-15	todo		
A9V-D03	CR-17	todo		
A9V-D04	CR-17	todo		
A9V-D05	CR-31	todo		
A9V-D06	CR-15	todo		
A9V-D07	CR-31	todo		
A9V-D08	CR-31	todo		
A9V-D09	CR-31	todo		
A9V-D10	CR-07	todo		
A9V-D11	CR-07	todo		
A9V-D12	CR-27	todo		
A9V-D13	CR-22	todo		
A9V-Q01	CR-15	todo		
A9V-Q02	CR-16	todo		
A9V-Q03	CR-17	todo		
A9V-Q04	CR-31	todo		
A9V-Q05	CR-30	todo		
A9V-Q06	CR-20	todo		
A9R-01	CR-23	todo		
A9R-02	CR-31	todo		
A9R-03	CR-29	todo		
A9R-04	CR-12	todo		
A9R-05	CR-23	todo		
A9R-06	CR-23	todo		
A9R-07	CR-33	todo		
A9R-08	CR-29	todo		
A9R-09	CR-12	todo		
A9R-10	CR-32	todo		
A9R-11	CR-08	todo		
A9R-12	CR-31	todo		
A9R-13	CR-13	todo		
A9R-14	CR-28	todo		
A9R-D01	CR-31	todo		
A9R-D02	CR-31	todo		
A9R-D03	CR-12	todo		
A9R-D04	CR-07	todo		
A9R-D05	CR-29	todo		
A9R-D06	CR-32	dup		= A9R-10
A9R-D07	CR-12	dup		= A9R-09
A9R-D08	CR-07	todo		
A9R-D09	CR-33	todo		
A9R-D10	CR-33	todo		
A9R-Q01	CR-29	todo		
A9R-Q02	CR-31	todo		
A9R-Q03	CR-12	todo		
A9R-Q04	CR-30	todo		
A9R-Q05	CR-31	todo		
A5-01	CR-25	todo		
A5-02	CR-16	todo		
A5-03	CR-16	todo		
A5-04	CR-13	todo		
A5-05	CR-10	todo		
A5-06	CR-15	todo		
A5-07	CR-16	todo		
A5-08	CR-16	todo		
A5-09	CR-27	todo		
A5-10	CR-28	todo		
A5-11	CR-29	todo		
A5-12	CR-25	todo		
A5-13	CR-08	todo		
A5-14	CR-31	todo		
A5-15	CR-16	todo		
A5-16	CR-28	todo		
A5-17		withdrawn		CPU is not a lever (README §3)
A5-D01	CR-06	done	pre-audit	fixed on the live line before the audit closed (VERIFIED-BUGS, Fixed)
A5-D02	CR-06	todo		
A5-D03	CR-16	todo		
A5-D04	CR-29	todo		
A5-D05	CR-07	todo		
A5-D06	CR-25	todo		
A5-D07	CR-17	todo		
A5-D08	CR-15	todo		
A5-D09	CR-16	todo		
A5-D10	CR-20	todo		
A5-Q01	CR-16	todo		
A5-Q02	CR-07	todo		
A5-Q03	CR-28	todo		
A5-Q04	CR-16	todo		
A5-Q05	CR-16	todo		
A5-Q06	CR-30	todo		
A5-Q07	CR-16	todo		
A6-01	CR-25	todo		
A6-02	CR-29	todo		
A6-03	CR-29	todo		
A6-04	CR-16	todo		
A6-05	CR-08	todo		
A6-06	CR-25	todo		
A6-07	CR-12	todo		
A6-08	CR-31	todo		
A6-09	CR-16	todo		
A6-10	CR-13	todo		
A6-11	CR-27	todo		
A6-12	CR-25	todo		
A6-13	CR-25	todo		
A6-14	CR-08	todo		
A6-15	CR-33	todo		
A6-16	CR-34	todo		
A6-17	CR-28	todo		
A6-18	CR-13	todo		
A6-19	CR-31	todo		
A6-D01	CR-19	todo		
A6-D02	CR-07	todo		
A6-D03	CR-12	todo		
A6-D04	CR-12	todo		
A6-D05	CR-25	todo		
A6-D06	CR-16	todo		
A6-D07	CR-12	todo		
A6-D08	CR-07	todo		
A6-D09	CR-16	todo		
A6-Q01	CR-29	todo		
A6-Q02	CR-29	todo		
A6-Q03	CR-34	todo		
A6-Q04	CR-32	todo		
A7-01	CR-24	todo		
A7-02	CR-23	todo		
A7-03	CR-13	todo		
A7-04	CR-13	todo		
A7-05	CR-24	todo		
A7-06	CR-16	todo		
A7-07	CR-18	todo		
A7-08	CR-22	todo		
A7-09	CR-27	todo		
A7-10	CR-20	todo		
A7-11	CR-33	todo		
A7-12	CR-24	todo		
A7-13	CR-17	todo		
A7-14	CR-13	todo		
A7-D01	CR-07	todo		
A7-D02	CR-07	todo		
A7-D03	CR-06	todo		
A7-D04	CR-18	todo		
A7-D05	CR-07	todo		
A7-D06	CR-06	todo		
A7-D07	CR-16	todo		
A7-D08	CR-17	todo		
A7-D09	CR-07	todo		
A7-D10	CR-06	todo		
A7-Q01	CR-30	todo		
A7-Q02	CR-33	todo		
A7-Q03	CR-30	todo		
A7-Q04	CR-16	todo		
A7-Q05	CR-07	todo		
A34-01	CR-14	todo		
A34-02	CR-12	todo		
A34-03	CR-17	todo		
A34-04	CR-24	todo		
A34-05	CR-30	todo		
A34-06	CR-20	todo		
A34-07	CR-21	todo		
A34-08	CR-07	todo		
A34-09	CR-29	todo		
A34-10	CR-16	todo		
A34-11	CR-18	todo		
A34-12	CR-24	todo		
A34-13	CR-08	todo		
A34-14	CR-28	todo		
A34-D01	CR-06	done	pre-audit	fixed on the live line before the audit closed (VERIFIED-BUGS, Fixed)
A34-D02	CR-17	todo		
A34-D03	CR-07	todo		
A34-D04	CR-07	todo		
A34-D05	CR-12	todo		
A34-D06	CR-33	todo		
A34-D07	CR-20	todo		
A34-D08	CR-29	dup		= A34-09
A34-D09	CR-18	todo		
A34-D10	CR-07	todo		
A34-D11	CR-07	todo		
A34-D12	CR-29	todo		
A34-D13	CR-32	todo		
A34-D14	CR-06	todo		
A34-D15	CR-19	todo		
A34-D16	CR-14	todo		
A34-Q01	CR-14	todo		
A34-Q02	CR-17	todo		
A34-Q03	CR-30	todo		
A34-Q04	CR-16	todo		
A34-Q05	CR-32	todo		
A1X-01	CR-12	todo		
A1X-02	CR-21	todo		
A1X-03	CR-20	todo		
A1X-04	CR-12	todo		
A1X-05	CR-21	todo		
A1X-06	CR-21	todo		
A1X-07	CR-31	todo		
A1X-08	CR-17	todo		
A1X-09	CR-19	todo		
A1X-10	CR-29	todo		
A1X-11	CR-28	todo		
A1X-12	CR-18	todo		
A1X-13	CR-10	todo		
A1X-14	CR-08	todo		
A1X-15	CR-30	todo		
A1X-D01	CR-07	todo		
A1X-D02	CR-06	todo		
A1X-D03	CR-07	todo		
A1X-D04	CR-07	todo		
A1X-D05	CR-18	todo		
A1X-D06	CR-32	todo		
A1X-D07	CR-06	dup		= A34-D14 (flag register)
A1X-D08	CR-19	todo		
A1X-D09	CR-20	todo		
A1X-D10	CR-29	todo		
A1X-D11	CR-07	todo		
A1X-D12	CR-33	todo		
A1X-D13	CR-04	done	fc6f52c7	declared; deps:check guards it (7 violations found, 0 left)
A1X-Q01	CR-12	todo		
A1X-Q02	CR-18	todo		
A1X-Q03	CR-07	todo		
A1X-Q04	CR-17	todo		
A1X-Q05	CR-30	todo		
A1X-Q06	CR-30	todo		
A1X-Q07	CR-29	todo		
ORC-01	CR-25	todo		
ORC-02	CR-21	todo		
ORC-03	CR-19	todo		
ORC-04	CR-20	todo		
ORC-05	CR-22	todo		
ORC-06	CR-10	todo		
ORC-07	CR-03	todo		
ORC-08	CR-17	todo		
ORC-09	CR-08	todo		
ORC-10	CR-11	todo		
ORC-11	CR-07	todo		
ORC-12	CR-33	todo		
ORC-13	CR-31	todo		
ORC-14	CR-32	todo		
ORC-15	CR-13	todo		
ORC-16	CR-26	todo		
ORC-D01	CR-07	todo		
ORC-D02	CR-03	todo		
ORC-D03	CR-06	todo		
ORC-D04	CR-06	todo		
ORC-D05	CR-17	todo		
ORC-D06	CR-07	dup		= A1X-D04
ORC-D07	CR-06	todo		
ORC-D08	CR-32	dup		= ORC-14
ORC-D09	CR-33	todo		
ORC-D10	CR-06	todo		
ORC-D11	CR-07	todo		
ORC-D12	CR-19	dup		= A6-D01
ORC-D13	CR-06	todo		
ORC-Q01	CR-07	todo		
ORC-Q02	CR-03	todo		
ORC-Q03	CR-20	todo		
ORC-Q04	CR-17	todo		
ORC-Q05	CR-22	todo		
ORC-Q06	CR-33	todo		
ORC-Q07	CR-32	todo		
SCO-01	CR-30	todo		
SCO-02	CR-18	todo		
SCO-03	CR-27	todo		
SCO-04	CR-18	todo		
SCO-05	CR-18	todo		
SCO-06	CR-16	todo		
SCO-07	CR-18	todo		
SCO-08	CR-18	todo		
SCO-09	CR-18	todo		
SCO-10	CR-18	todo		
SCO-11	CR-08	todo		
SCO-12	CR-03	todo		
SCO-13		withdrawn		CPU is not a lever (README §3); ~2.8 s per run
SCO-D01	CR-06	todo		
SCO-D02	CR-06	todo		
SCO-D03	CR-18	todo		
SCO-D04	CR-18	todo		
SCO-D05	CR-06	todo		
SCO-D06	CR-18	todo		
SCO-D07	CR-06	todo		
SCO-D08	CR-18	todo		
SCO-D09	CR-06	todo		
SCO-D10	CR-13	todo		
SCO-D11	CR-06	dup		= A34-D14 (flag register)
SCO-D12	CR-18	todo		
SCO-Q01	CR-30	todo		
SCO-Q02	CR-18	todo		
SCO-Q03	CR-18	todo		
SCO-Q04	CR-16	todo		
SCO-Q05	CR-30	todo		
SCO-Q06	CR-06	todo		
SCO-Q07	CR-18	todo		
SCO-Q08	CR-18	todo		
